Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1964932,"bulk H1 hESC cell [H1_rep1]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467207",SRX1467207,"Ning Leng","Jul 21, 2016"
GSM1964933,"bulk H1 hESC cell [H1_rep2]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467208",SRX1467208,"Ning Leng","Jul 21, 2016"
GSM1964934,"bulk H1 hESC cell [H1_rep3]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467209",SRX1467209,"Ning Leng","Jul 21, 2016"
GSM1964935,"bulk H1 hESC cell [H1_rep4]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467210",SRX1467210,"Ning Leng","Jul 21, 2016"
GSM1964936,"bulk H9 hESC cell [H9_rep1]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467211",SRX1467211,"Ning Leng","Jul 21, 2016"
GSM1964937,"bulk H9 hESC cell [H9_rep2]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467212",SRX1467212,"Ning Leng","Jul 21, 2016"
GSM1964938,"bulk H9 hESC cell [H9_rep3]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467213",SRX1467213,"Ning Leng","Jul 21, 2016"
GSM1964939,"bulk DEC derived from H1 hESC [DEC_rep1]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467214",SRX1467214,"Ning Leng","Jul 21, 2016"
GSM1964941,"bulk DEC derived from H1 hESC [DEC_rep2]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467215",SRX1467215,"Ning Leng","Jul 21, 2016"
GSM1964943,"bulk EC derived from H1 hESC [EC_rep1]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467216",SRX1467216,"Ning Leng","Jul 21, 2016"
GSM1964945,"bulk EC derived from H1 hESC [EC_rep2]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467217",SRX1467217,"Ning Leng","Jul 21, 2016"
GSM1964947,"bulk EC derived from H1 hESC [EC_rep3]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467218",SRX1467218,"Ning Leng","Jul 21, 2016"
GSM1964948,"bulk HFF  [HFF_rep1]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467219",SRX1467219,"Ning Leng","Jul 21, 2016"
GSM1964949,"bulk HFF  [HFF_rep2]","SRA","Homo sapiens",1,GPL16791,GSE75748,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1467220",SRX1467220,"Ning Leng","Jul 21, 2016"
