Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1562387,"H1_Exp1.001","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802398",SRX802398,"Ning Leng","Jun 24, 2015"
GSM1562388,"H1_Exp1.002","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802399",SRX802399,"Ning Leng","Jun 24, 2015"
GSM1562389,"H1_Exp1.003","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802400",SRX802400,"Ning Leng","Jun 24, 2015"
GSM1562390,"H1_Exp1.004","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802401",SRX802401,"Ning Leng","Jun 24, 2015"
GSM1562391,"H1_Exp1.006","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802402",SRX802402,"Ning Leng","Jun 24, 2015"
GSM1562392,"H1_Exp1.007","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802403",SRX802403,"Ning Leng","Jun 24, 2015"
GSM1562393,"H1_Exp1.008","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802404",SRX802404,"Ning Leng","Jun 24, 2015"
GSM1562394,"H1_Exp1.009","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802405",SRX802405,"Ning Leng","Jun 24, 2015"
GSM1562395,"H1_Exp1.010","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802406",SRX802406,"Ning Leng","Jun 24, 2015"
GSM1562396,"H1_Exp1.011","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802407",SRX802407,"Ning Leng","Jun 24, 2015"
GSM1562397,"H1_Exp1.012","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802408",SRX802408,"Ning Leng","Jun 24, 2015"
GSM1562398,"H1_Exp1.014","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802409",SRX802409,"Ning Leng","Jun 24, 2015"
GSM1562399,"H1_Exp1.015","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802410",SRX802410,"Ning Leng","Jun 24, 2015"
GSM1562400,"H1_Exp1.016","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802411",SRX802411,"Ning Leng","Jun 24, 2015"
GSM1562401,"H1_Exp1.017","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802412",SRX802412,"Ning Leng","Jun 24, 2015"
GSM1562402,"H1_Exp1.018","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802413",SRX802413,"Ning Leng","Jun 24, 2015"
GSM1562403,"H1_Exp1.019","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802414",SRX802414,"Ning Leng","Jun 24, 2015"
GSM1562404,"H1_Exp1.020","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802415",SRX802415,"Ning Leng","Jun 24, 2015"
GSM1562405,"H1_Exp1.021","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802416",SRX802416,"Ning Leng","Jun 24, 2015"
GSM1562406,"H1_Exp1.022","SRA","Homo sapiens",1,GPL16791,GSE64016,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX802417",SRX802417,"Ning Leng","Jun 24, 2015"
